Model,Parameters (M),FLOPs (G),mAP50 (%),mAP50-95 (%),Speed (ms),FPS
YOLOv8n,3.2,8.7,37.3,22.8,1.2,833
YOLOv10n,2.8,8.2,38.5,24.1,1.1,909
YOLOv11n,2.6,6.5,39.5,25.3,0.9,1111
YOLOv8s,11.2,28.6,44.9,28.6,2.3,435
YOLOv10s,9.4,24.4,46.3,30.2,2.0,500
YOLOv11s,9.1,21.5,47.2,31.5,1.7,588
RT-DETR-L,32.0,92.0,53.4,38.9,5.2,192
