Configuration,mAP50 (%),mAP50-95 (%),Training Time (h),Inference (ms)
Baseline (YOLOv8n),35.2,21.5,2.5,1.2
+ Data Augmentation,37.8,23.1,3.1,1.2
+ Multi-scale Training,39.1,24.6,3.8,1.3
+ YOLOv11 Architecture,41.5,26.8,3.5,0.9
+ AMP Training,42.3,27.5,2.2,0.9
+ TF32 Acceleration,42.8,27.9,1.8,0.9
Full Model (Ours),43.5,28.4,1.9,0.9
